============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(2 MeV) ==> PMMA(  10 um) ===============================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  110  1 .1848250E+07   1000013E-01 -.2175E+02  .7927E+02   .9999971 -.0017906 -.0016241
T  111  1 .1844637E+07   1000022E-01  .3057E+03  .2327E+03   .9999515  .0093663  .0030299
T  112  1 .1836295E+07   1000017E-01  .1475E+02  .2089E+03   .9999488 -.0053693  .0085785
T  113  1 .1845983E+07   1000006E-01 -.6876E+03  .2624E+03   .9999382 -.0089018  .0066552
T  114  1 .1850869E+07   1000011E-01  .5860E+02 -.4003E+03   .9995649 -.0117061  .0270729
T  115  1 .1858416E+07   1000021E-01  .2653E+03 -.2585E+03   .9999791  .0058528 -.0027425
T  116  1 .1847395E+07   1000000E-01  .4450E+03 -.4386E+03   .9999334  .0106096 -.0045339
T  117  1 .1850378E+07   1000018E-01  .2554E+04  .9508E+03   .9986025  .0478915  .0223486
T  118  1 .1833484E+07   1000020E-01  .3553E+03 -.5462E+03   .9998913  .0095720 -.0112166
T  119  1 .1834495E+07   1000015E-01 -.2805E+03 -.3614E+03   .9999705 -.0047427 -.0060345
T  120  1 .1851461E+07   1000020E-01 -.2692E+02  .3475E+03   .9999917  .0018906  .0036075
T  121  1 .1830848E+07   1000020E-01  .2130E+04  .9089E+03   .9992688  .0347603  .0159253
T  122  1 .1838525E+07   1000014E-01 -.2877E+02 -.2241E+03   .9999606  .0087078  .0017075
T  123  1 .1846948E+07   1000020E-01 -.5052E+03  .1242E+03   .9999037 -.0128472  .0052508
T  124  1 .1865082E+07   1000021E-01  .4788E+02 -.5485E+02   .9999805  .0056191  .0027379
T  125  1 .1856246E+07   1000011E-01  .5860E+02 -.1233E+02   .9999939  .0015902  .0031201
T  126  1 .1840661E+07   1000017E-01 -.1515E+03  .6319E+01   .9999947 -.0028065 -.0016792
T  127  1 .1846589E+07   1000021E-01 -.1317E+03  .3725E+03   .9999461 -.0095878  .0039888
T  128  1 .1838919E+07   1000011E-01 -.2082E+03 -.1292E+04   .9999677  .0019857 -.0077936
T  129  1 .1842218E+07   1000015E-01  .5368E+02  .4214E+02   .9999924 -.0011063 -.0037364
T  130  1 .1852105E+07   1000017E-01 -.3453E+03  .9278E+02   .9999682 -.0059427  .0053130
T  131  1 .1845014E+07   1000007E-01  .5641E+02 -.3154E+03   .9999953 -.0000988 -.0030718
T  132  1 .1847002E+07   1000009E-01  .2726E+03 -.2338E+03   .9998499  .0143340 -.0097324
T  133  1 .1837368E+07   1000014E-01 -.1081E+03 -.4787E+03   .9999584 -.0058297 -.0070187
T  134  1 .1831996E+07   1000002E-01 -.4190E+03  .3100E+02   .9997383 -.0173312  .0149292
T  135  1 .1863274E+07   1000020E-01  .4299E+03  .9516E+02   .9999719  .0074648 -.0006166
T  136  1 .1846632E+07   1000001E-01 -.9159E+02 -.2059E+03   .9999890  .0028133 -.0037524
T  137  1 .1849715E+07   1000006E-01 -.1693E+02 -.8319E+02   .9999997  .0006919  .0002255
T  138  1 .1864055E+07   1000010E-01  .2498E+03  .1177E+03   .9999747  .0012283  .0070020
T  139  1 .1848958E+07   1000004E-01 -.8689E+02 -.1653E+03   .9999992 -.0012480  .0000995
T  140  1 .1852431E+07   1000007E-01  .1423E+03 -.4871E+03   .9999473  .0045873 -.0091805
T  141  1 .1851597E+07   1000017E-01 -.2892E+03  .1398E+03   .9999754  .0055852 -.0042542
T  142  1 .1858153E+07   1000023E-01  .1995E+03 -.4241E+03   .9999459 -.0017175 -.0102573
T  143  1 .1849029E+07   1000023E-01 -.7041E+03  .5594E+03   .9999036 -.0099620  .0096735
T  144  1 .1852667E+07   1000002E-01  .1946E+03 -.1234E+03   .9999787  .0057701 -.0030661
T  145  1 .1849527E+07   1000014E-01  .3392E+03 -.5125E+01   .9999665 -.0046372 -.0067462
T  146  1 .1869385E+07   1000019E-01  .7892E+02  .2449E+03   .9999829 -.0012034  .0057288
T  147  1 .1852881E+07   1000021E-01  .1013E+03 -.4305E+03   .9999264  .0010083 -.0120899
T  148  1 .1836939E+07   1000018E-01  .2730E+03  .1769E+03   .9999910  .0029578  .0030319
T  149  1 .1857971E+07   1000022E-01  .1354E+03  .3740E+03   .9999771  .0048519  .0047183
T  150  1 .1851703E+07   1000007E-01 -.5735E+02  .4716E+03   .9999445 -.0007205  .0105133
T  151  1 .1839677E+07   1000021E-01  .2880E+03  .4782E+03   .9999063  .0011316  .0136458
T  152  1 .1847619E+07   1000014E-01 -.2797E+03 -.2106E+03   .9999624 -.0083248  .0024166
T  153  1 .1844639E+07   1000012E-01  .6158E+02 -.2971E+03   .9999429  .0017807 -.0105383
T  154  1 .1832045E+07   1000022E-01  .4512E+03 -.7074E+02   .9999277  .0116136 -.0031248
T  155  1 .1835343E+07   1000008E-01  .8655E+02  .3113E+03   .9999885  .0003768  .0047762
T  156  1 .1830306E+07   1000000E-01  .4385E+03  .9162E+03   .9998458  .0060449  .0164899
T  157  1 .1846930E+07   1000020E-01 -.7636E+03 -.2432E+03   .9998228 -.0178445 -.0059868
T  158  1 .1847439E+07   1000015E-01 -.8937E+03 -.4323E+02   .9998463 -.0162129  .0066676
T  159  1 .1859271E+07   1000020E-01 -.1490E+03 -.1973E+03   .9999923  .0009924 -.0037984
T  160  1 .1842649E+07   1000019E-01 -.1028E+03 -.1122E+03   .9998104 -.0013104 -.0194300
T  161  1 .1834568E+07   1000016E-01 -.4229E+02 -.3318E+02   .9999986 -.0011682 -.0011625
T  162  1 .1831174E+07   1000014E-01 -.1415E+04  .2341E+03   .9997421 -.0225288  .0028488
T  163  1 .1859737E+07   1000016E-01 -.2653E+03  .4735E+03   .9999279  .0033090  .0115446
T  164  1 .1828943E+07   1000015E-01 -.4842E+03  .4548E+02   .9999621 -.0086130 -.0012613
T  165  1 .1838031E+07   1000015E-01  .2745E+02 -.3430E+02   .9999853 -.0008850 -.0053525
T  166  1 .1859142E+07   1000001E-01  .1547E+03  .6190E+03   .9999245  .0019358  .0121339
T  167  1 .1848000E+07   1000008E-01 -.9146E+02 -.2429E+02   .9999590 -.0090369  .0005076
T  168  1 .1834710E+07   1000001E-01 -.2283E+03  .1649E+03   .9999951 -.0030264  .0007928
T  169  1 .1845866E+07   1000011E-01  .2355E+03  .5852E+03   .9998506  .0071573  .0157337
T  170  1 .1849357E+07   1000019E-01 -.2495E+02  .4653E+03   .9998942 -.0050952  .0136219
T  171  1 .1843453E+07   1000009E-01 -.4513E+03 -.2361E+03   .9998639 -.0109218 -.0123646
T  172  1 .1832701E+07   1000019E-01  .2247E+00 -.8888E+02   .9999820 -.0036615 -.0047606
T  173  1 .1821189E+07   1000000E-01 -.8619E+03 -.7238E+03   .9997868 -.0160160  .0130338
T  174  1 .1840417E+07   1000007E-01  .1161E+03  .8648E+01   .9999921 -.0029926 -.0026262
T  175  1 .1836562E+07   1000008E-01  .7533E+02 -.1456E+02   .9999924 -.0003780  .0038871
T  176  1 .1843475E+07   1000021E-01  .5292E+04 -.1484E+04   .9976188  .0674960 -.0141794
T  177  1 .1838145E+07   1000020E-01 -.1841E+03 -.2130E+03   .9999943 -.0023930 -.0023907
T  178  1 .1851890E+07   1000013E-01  .4034E+03 -.3572E+03   .9999929 -.0016408 -.0033822
T  179  1 .1839234E+07   1000012E-01 -.5952E+01 -.2154E+03   .9999573  .0091754 -.0011312
T  180  1 .1824352E+07   1000017E-01 -.2106E+03 -.1075E+03   .9999716 -.0035132 -.0066680
T  181  1 .1848313E+07   1000023E-01  .9695E+03 -.1344E+03   .9999381  .0109944 -.0017084
T  182  1 .1841037E+07   1000019E-01  .2419E+02 -.2645E+03   .9999651  .0001502 -.0083556
T  183  1 .1853065E+07   1000012E-01 -.1196E+02 -.5557E+03   .9999527 -.0041583 -.0087957
T  184  1 .1866719E+07   1000013E-01  .1736E+03  .3104E+02   .9999915  .0004534 -.0040866
T  185  1 .1843471E+07   1000006E-01 -.1519E+03 -.1266E+03   .9999905 -.0027017 -.0034263
T  186  1 .1845731E+07   1000021E-01  .1129E+02  .3616E+03   .9999876  .0027871  .0041322
T  187  1 .1864282E+07   1000016E-01  .8237E+02 -.4619E+03   .9999756  .0033132 -.0061524
T  188  1 .1847990E+07   1000013E-01 -.1171E+03 -.9359E+02   .9999973 -.0023198  .0000040
T  189  1 .1854251E+07   1000021E-01 -.1020E+03 -.1622E+03   .9999966  .0022739 -.0012969
T  190  1 .1836623E+07   1000007E-01  .1652E+03  .2755E+03   .9999998  .0002297  .0005745
T  191  1 .1849169E+07   1000008E-01 -.2179E+03 -.6576E+02   .9999750 -.0057351 -.0041363
T  192  1 .1834938E+07   1000016E-01  .8740E+03 -.3855E+03   .9997257  .0232246 -.0030148
T  193  1 .1836043E+07   1000021E-01 -.2082E+03  .1684E+03   .9999797 -.0014052  .0062143
T  194  1 .1844543E+07   1000017E-01 -.2692E+03 -.3289E+03   .9999907  .0012987 -.0041106
T  195  1 .1845944E+07   1000008E-01  .1593E+02  .2173E+03   .9999699 -.0051622  .0057951
T  196  1 .1830535E+07   1000022E-01 -.4204E+04  .1555E+04   .9985452 -.0511522  .0170561
T  197  1 .1850449E+07   1000005E-01 -.7520E+02 -.5086E+01   .9999752 -.0070424 -.0001850
T  198  1 .1840576E+07   1000006E-01 -.2562E+03  .5236E+02   .9999315 -.0114518  .0024226
T  199  1 .1845941E+07   1000016E-01 -.2591E+03 -.3656E+03   .9999870 -.0038672 -.0033190
T  200  1 .1828580E+07   1000022E-01 -.6615E+02 -.2781E+03   .9999827  .0008345 -.0058218
T  201  1 .1833455E+07   1000021E-01 -.4863E+03 -.2525E+03   .9999669 -.0026590 -.0076935
T  202  1 .1832115E+07   1000022E-01  .2432E+03  .5200E+03   .9999905  .0028524  .0032989
T  203  1 .1836887E+07   1000013E-01  .4431E+03 -.1419E+03   .9999553  .0089107 -.0031542
T  204  1 .1838786E+07   1000005E-01 -.3176E+03  .4952E+03   .9999652 -.0040824  .0072688
T  205  1 .1859313E+07   1000008E-01  .2016E+03 -.1129E+02   .9999867  .0050989 -.0007192
T  206  1 .1856161E+07   1000003E-01 -.7422E+02  .3994E+02   .9999672 -.0047184 -.0065859
T  207  1 .1848662E+07   1000019E-01  .5528E+03  .3527E+03   .9998635  .0145661  .0077923
T  208  1 .1842259E+07   1000018E-01  .6881E+02 -.2819E+03   .9999689 -.0032807 -.0071727
T  209  1 .1836584E+07   1000018E-01  .1489E+03  .1399E+03   .9999695 -.0058799  .0051337
T  210  1 .1836933E+07   1000019E-01  .3197E+02  .2896E+03   .9999902 -.0020867  .0039092
T  211  1 .1851045E+07   1000021E-01  .1330E+03  .2903E+03   .9999959 -.0023376 -.0016380
T  212  1 .1842612E+07   1000009E-01  .7166E+03 -.5757E+03   .9999291  .0086142 -.0082253
T  213  1 .1846049E+07   1000009E-01 -.1421E+03  .2841E+03   .9999387 -.0054575  .0096316
T  214  1 .1856318E+07   1000007E-01 -.5102E+02 -.9111E+02   .9999901 -.0044037  .0006391
T  215  1 .1840360E+07   1000022E-01 -.9143E+03  .4910E+03   .9997971 -.0178413  .0093561
T  216  1 .1861548E+07   1000010E-01  .5923E+01  .2485E+03   .9999919 -.0020428  .0034805
T  217  1 .1851778E+07   1000010E-01 -.7698E+02  .3382E+02   .9999860  .0003811 -.0052869
T  218  1 .1852892E+07   1000001E-01 -.4289E+02  .5310E+02   .9999636 -.0049454  .0069554
T  219  1 .1840796E+07   1000007E-01 -.7618E+02 -.1055E+03   .9999024  .0040711 -.0133626
T  220  1 .1856542E+07   1000000E-01  .5041E+03  .2604E+03   .9999099  .0106115  .0082193
