============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(2 MeV) ==> DLC+Au+Cr+Silicon(  730 A) ==================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  129  1 .1997081E+07   7307822E-04 -.7581E+01  .1692E+01   .9997709 -.0208761  .0047306
T  130  1 .1997399E+07   7310966E-04  .1846E+01 -.6311E-01   .9999802  .0062938  .0000649
T  131  1 .1998142E+07   7323335E-04  .1080E+01  .2804E+01   .9999853  .0026152  .0047402
T  132  1 .1998066E+07   7323856E-04  .2338E+00 -.6829E+00   .9999987  .0000538 -.0016067
T  133  1 .1998608E+07   7317222E-04 -.1028E+01  .6683E+00   .9999963 -.0024560  .0011768
T  134  1 .1997344E+07   7313891E-04 -.1903E+01  .1034E+01   .9999949 -.0026148  .0018577
T  135  1 .1998132E+07   7312577E-04 -.1945E+00  .7261E+00   .9999997 -.0002653  .0007044
T  136  1 .1997427E+07   7321249E-04 -.9173E-01 -.5820E+00   .9999994 -.0011052 -.0000558
T  137  1 .1996165E+07   7309157E-04 -.9459E+00 -.1958E+00   .9999957 -.0024652 -.0015896
T  138  1 .1996902E+07   7312309E-04 -.6347E+00 -.5201E+00   .9999946 -.0031444 -.0009923
T  139  1 .1996717E+07   7327106E-04 -.1017E+01 -.1517E+01   .9999913 -.0010631 -.0040431
T  140  1 .1996751E+07   7320773E-04 -.2310E+01 -.8205E+00   .9999924 -.0032309 -.0021873
T  141  1 .1998032E+07   7316500E-04 -.1543E+01 -.2053E+00   .9999952 -.0030898 -.0000078
T  142  1 .1997153E+07   7320463E-04 -.7024E+00  .3741E+00   .9999999 -.0005102  .0000457
T  143  1 .1997989E+07   7306727E-04 -.9207E+00 -.9389E+00   .9999982 -.0011167 -.0015641
T  144  1 .1995753E+07   7302416E-04  .7335E+00  .8725E+00   .9999972  .0007854  .0022232
T  145  1 .1996819E+07   7317559E-04 -.4446E+00 -.8621E+00   .9999993 -.0003246 -.0011398
T  146  1 .1996995E+07   7313933E-04 -.1521E+01  .1204E+01   .9999933 -.0024906  .0026696
T  147  1 .1998033E+07   7320265E-04  .3691E+00  .8225E+00   .9999976  .0014554  .0016480
T  148  1 .1996436E+07   7311773E-04  .9108E+00 -.4043E+00   .9999972  .0014919 -.0018298
T  149  1 .1996289E+07   7319359E-04 -.9208E+00  .9764E-01   .9999996 -.0004615  .0007160
T  150  1 .1996469E+07   7302832E-04  .3558E+00  .1116E+01   .9999987 -.0001615  .0016186
T  151  1 .1997187E+07   7306111E-04  .4449E+00 -.3685E+01   .9999810  .0007493 -.0061160
T  152  1 .1998122E+07   7306104E-04  .6706E-01  .5472E+00   .9999995 -.0002041  .0009423
T  153  1 .1998142E+07   7320141E-04  .1430E+01  .3764E+00   .9999926  .0033748 -.0018430
T  154  1 .1997312E+07   7300221E-04 -.3305E+00  .3768E+01   .9999849 -.0016294  .0052403
T  155  1 .1997114E+07   7306816E-04  .5345E+00  .2073E+00   .9999992  .0009224 -.0008988
T  156  1 .1997821E+07   7324687E-04 -.6643E+00 -.2709E+01   .9999889 -.0006850 -.0046606
T  157  1 .1996969E+07   7301131E-04  .1271E+00  .3781E+00   .9999999  .0002163  .0001170
T  158  1 .1995978E+07   7310272E-04  .4889E+00 -.6061E+00   .9999990  .0011741 -.0007505
T  159  1 .1997633E+07   7312034E-04 -.8860E+00 -.2197E+00   .9999984 -.0017084  .0006073
T  160  1 .1998171E+07   7315592E-04  .1435E+01 -.9274E+00   .9999930  .0030940 -.0021043
T  161  1 .1996521E+07   7306724E-04  .4983E-01  .1508E+01   .9999964  .0001285  .0026735
T  162  1 .1998375E+07   7305891E-04 -.1540E+01 -.7306E+00   .9999942 -.0025336 -.0022884
T  163  1 .1997529E+07   7327017E-04 -.5670E+00  .1592E+01   .9999960 -.0012709  .0025401
T  164  1 .1996921E+07   7303362E-04  .5557E+01  .4009E+01   .9999262  .0101125  .0067300
T  165  1 .1996205E+07   7310442E-04 -.8572E+00  .6016E+00   .9999966 -.0009143  .0024229
T  166  1 .1997344E+07   7326187E-04  .9809E-01 -.2395E+00   .9999996  .0007881 -.0004957
T  167  1 .1996746E+07   7314168E-04 -.4459E-01 -.4451E+00   .9999976 -.0002089 -.0021671
T  168  1 .1996249E+07   7322529E-04 -.1043E+01 -.2447E+00   .9999962 -.0027563 -.0003166
T  169  1 .1996267E+07   7317172E-04 -.6725E+00 -.3761E+00   .9999988 -.0015457 -.0003094
T  170  1 .1997933E+07   7309089E-04  .1937E+01  .1273E+01   .9999900  .0037794  .0023787
T  171  1 .1997104E+07   7325062E-04 -.1153E+00 -.1178E+01   .9999957  .0007483 -.0028519
T  172  1 .1996087E+07   7307938E-04  .1642E+01  .2783E+00   .9999956  .0028310  .0009046
T  173  1 .1996872E+07   7322920E-04 -.3373E+00  .2493E+00   .9999999 -.0003307  .0002588
T  174  1 .1997608E+07   7302456E-04 -.3255E+00 -.3930E+00   .9999992 -.0001257 -.0012950
T  175  1 .1995794E+07   7305086E-04  .8650E+00  .2512E+00   .9999981  .0019496 -.0000267
T  176  1 .1997766E+07   7323629E-04 -.1460E+01  .1766E+01   .9999919 -.0024400  .0032060
T  177  1 .1998002E+07   7315098E-04  .4196E+00 -.4692E+00   .9999984  .0004191 -.0017536
T  178  1 .1996984E+07   7305068E-04 -.3261E+01 -.3475E+01   .9999628 -.0065045 -.0056572
T  179  1 .1997921E+07   7302990E-04  .5572E+00 -.5141E+00   .9999997  .0008063 -.0000113
T  180  1 .1997236E+07   7321383E-04  .9470E+00 -.2103E+01   .9999929  .0014077 -.0034871
T  181  1 .1996238E+07   7302412E-04 -.1151E+00 -.3376E+00   .9999983 -.0017971  .0004412
T  182  1 .1997332E+07   7310973E-04  .6020E+00  .9038E+00   .9999982  .0010132  .0015784
T  183  1 .1997722E+07   7321601E-04  .9751E-01 -.1046E+01   .9999983  .0004350 -.0017769
T  184  1 .1998574E+07   7325821E-04 -.7047E+00 -.3344E+00   .9999992 -.0012465 -.0002122
T  185  1 .1998097E+07   7306643E-04 -.2437E+00  .8721E+00   .9999979 -.0010135  .0017752
T  186  1 .1997019E+07   7320967E-04 -.9686E+00 -.8672E+00   .9999960 -.0022232 -.0017307
T  187  1 .1998161E+07   7319059E-04  .2084E+00  .7804E+00   .9999997  .0005051  .0006128
T  188  1 .1996865E+07   7319517E-04  .4420E+00 -.9666E+00   .9999970  .0009677 -.0022303
T  189  1 .1997764E+07   7327038E-04 -.1961E+01 -.4038E+01   .9999705 -.0024057 -.0072966
T  190  1 .1995944E+07   7303920E-04 -.9391E+00  .1159E+01   .9999953 -.0012751  .0027746
T  191  1 .1997439E+07   7319557E-04  .1269E+01 -.1195E-01   .9999948  .0030758 -.0009483
T  192  1 .1996792E+07   7320823E-04 -.1417E+01  .5884E+00   .9999958 -.0027097  .0010514
T  193  1 .1996293E+07   7325732E-04 -.2471E+01 -.5930E+00   .9999849 -.0049200 -.0024279
T  194  1 .1996184E+07   7321929E-04 -.5717E-01 -.5792E+00   .9999996  .0001920 -.0008919
T  195  1 .1998007E+07   7325519E-04 -.4266E+01 -.2777E+01   .9999491 -.0081372 -.0059663
T  196  1 .1997617E+07   7316360E-04 -.4214E+01 -.4311E+00   .9999664 -.0081917  .0001508
T  197  1 .1996965E+07   7321987E-04 -.1727E+01 -.1773E+01   .9999920 -.0024199 -.0031710
T  198  1 .1997068E+07   7325705E-04  .1728E+01 -.3757E+00   .9999926  .0037655 -.0008248
T  199  1 .1997628E+07   7312977E-04  .1117E+01  .3082E+00   .9999978  .0021123  .0001215
T  200  1 .1996358E+07   7324528E-04  .5569E+00 -.5106E+00   .9999980  .0016303 -.0011953
T  201  1 .1997167E+07   7324755E-04  .5140E+00  .9003E+00   .9999971  .0014716  .0019270
T  202  1 .1998804E+07   7324274E-04  .1369E+00 -.9391E+00   .9999984 -.0001485 -.0018071
T  203  1 .1997632E+07   7307214E-04  .1908E+01 -.8626E+00   .9999947  .0031851 -.0007358
T  204  1 .1997680E+07   7326299E-04  .8448E+00 -.1791E+00   .9999993  .0011272  .0003219
T  205  1 .1996989E+07   7305006E-04  .2092E+00 -.2852E+00   .9999999 -.0001060 -.0004522
T  206  1 .1997160E+07   7318055E-04 -.2483E+01  .3729E+00   .9999945 -.0031596  .0010485
T  207  1 .1996780E+07   7307143E-04  .2566E+01  .4723E+00   .9998432  .0154727  .0086142
T  208  1 .1997064E+07   7305523E-04 -.8513E+00 -.1260E+01   .9999933 -.0031602 -.0018361
T  209  1 .1997825E+07   7309585E-04 -.1981E+00 -.1577E+00   .9999999 -.0002716 -.0003520
T  210  1 .1996409E+07   7327172E-04  .2243E+01 -.8679E+00   .9999911  .0037979 -.0018263
T  211  1 .1996441E+07   7301517E-04  .6526E+01  .1400E+01   .9999308  .0113283  .0031576
T  212  1 .1997894E+07   7317521E-04 -.1355E+01 -.7410E+00   .9999969 -.0019355 -.0015930
T  213  1 .1998701E+07   7315579E-04 -.8662E+00 -.7406E+00   .9999998 -.0005280 -.0003112
T  214  1 .1997862E+07   7325286E-04  .3031E+00  .2085E+00   .9999993  .0009573  .0006918
T  215  1 .1997193E+07   7301835E-04 -.1378E+00 -.2406E+01   .9999893 -.0004595 -.0045978
T  216  1 .1997388E+07   7324918E-04  .1530E+01  .1449E+00   .9999936  .0035809  .0001811
T  217  1 .1996775E+07   7321595E-04 -.7636E+00  .4809E+00   .9999969 -.0021483  .0012958
T  218  1 .1996959E+07   7312169E-04 -.1023E+01  .9949E+00   .9999976 -.0007672  .0020418
T  219  1 .1996417E+07   7303323E-04 -.1589E+00 -.9660E+00   .9999982 -.0004628 -.0018626
T  220  1 .1996732E+07   7314595E-04 -.3448E-01 -.7268E+00   .9999991 -.0001499 -.0013163
T  221  1 .1997554E+07   7322293E-04 -.1359E+01  .4154E+00   .9999963 -.0027231  .0001877
T  222  1 .1997303E+07   7323809E-04  .1095E+01 -.3638E+00   .9999930  .0032454 -.0018743
T  223  1 .1997919E+07   7322010E-04  .3967E+00 -.6147E+00   .9999993  .0006968 -.0009179
T  224  1 .1996866E+07   7319539E-04  .8133E+00  .2641E+00   .9999986  .0010931  .0012953
T  225  1 .1997239E+07   7313007E-04  .1920E+00  .7052E+00   .9999984 -.0012623 -.0012544
T  226  1 .1996776E+07   7325677E-04  .8849E+00 -.1195E+01   .9999966  .0010858 -.0023882
T  227  1 .1997574E+07   7324384E-04 -.7650E+00  .7111E+00   .9999985 -.0013351  .0010582
T  228  1 .1997571E+07   7318120E-04 -.8309E-01  .1794E+00   .9999995 -.0006326  .0007112
T  229  1 .1996536E+07   7310331E-04  .3488E+00 -.1397E+01   .9999976  .0001456 -.0021682
T  230  1 .1996369E+07   7308632E-04 -.4193E+00 -.1206E+01   .9999968 -.0005770 -.0024679
T  231  1 .1996841E+07   7316570E-04  .6044E+00 -.2691E+00   .9999999 -.0000900  .0002227
T  232  1 .1997121E+07   7324767E-04  .3920E+01  .2712E+01   .9999652  .0069737  .0045801
T  233  1 .1997318E+07   7326878E-04 -.4008E+00 -.9009E+00   .9999988 -.0006784 -.0013749
T  234  1 .1996696E+07   7322922E-04  .1736E+01  .5172E+00   .9999904  .0043061  .0007568
T  235  1 .1997298E+07   7321106E-04  .3667E+00  .2408E+00   .9999990  .0010775  .0009096
T  236  1 .1996744E+07   7319387E-04  .9681E+00  .7194E+00   .9999996  .0008153 -.0003546
T  237  1 .1998337E+07   7311970E-04 -.1301E+00  .9930E+00   .9999975  .0008217  .0020851
T  238  1 .1996697E+07   7313441E-04  .2784E+00  .9076E+00   .9999981  .0008776  .0017141
T  239  1 .1997390E+07   7305965E-04 -.1515E+01 -.7822E+00   .9999939 -.0032285 -.0013100
T  240  1 .1996313E+07   7304839E-04  .9640E+00  .4734E+00   .9999994  .0010176  .0002918
T  241  1 .1997120E+07   7313583E-04 -.1508E+01  .6917E+00   .9999970 -.0018556  .0015820
T  242  1 .1996283E+07   7318976E-04  .6294E+00 -.1372E+01   .9999934  .0003005 -.0036337
T  243  1 .1997762E+07   7312330E-04  .8328E+00  .6327E+00   .9999974  .0017920  .0014225
T  244  1 .1997988E+07   7326151E-04 -.2841E+01 -.9256E+00   .9999871 -.0037379 -.0034372
T  245  1 .1997599E+07   7307509E-04  .5786E+00 -.5589E+01   .9999380  .0017247 -.0110031
